State,AZ,CA,CO,CT,FL,GA,IL,IN,LA,MA,MD,MI,MS,NJ,NY,NV,OH,OK,OR,PA,SC,TX,VA,VT,WA,WI
69,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,146,,,,,,,,,,,
77,,,,,,,,,,,,,,,179,,,,,,,,,,,
78,,,,,,,,,,,,,,,283,,,,,,,,,,,
79,,,,,,,,,,,,,,,360,,,,,,,,,,,
80,,,,,,,,,,,,,,,503,,,,,,,,,,,
81,,,,,,,,,,,,,,,643,,,,,,,,,,,
82,,,,,,,,,,,,,,,778,,,,,,,,,,,
83,,,,,,,,,,,,,,,993,,,,,,,,,,,
84,,,,,,,,,,,,,,,1185,,74,,,,,,,,,
85,,,,,,,,,,,,,,,1559,,91,,,,,,,,,
86,22,200,,,,,,,,,,,,,1755,,107,,,,,,,,,
87,,410,,,,,,,,,,,,,2037,,123,,,,,,,,,
88,30,,,,,,,,,,,,,,2352,,139,,,,,,,,,
89,,597,,,,,,,,,,,,,2710,,163,,,,,,,,,
90,,657,,,,,,,,,,,,,3022,,198,,,,,,,,,
91,51,774,,,,,,,,,,,,,3396,,229,,,,,,145,,,
92,83,816,,,,,,,,,,,,,3731,,260,,,,,,,,,
,91,901,,,,,,,,,,,,,4126,,288,,,,,,,,,
,104,1008,,,,,,,,,,,,,,,326,,,,,,,,,