State,AZ,CA,CO,CT,FL,GA,IL,IN,LA,MA,MD,MI,MS,NJ,NV,NY,OH,OK,OR,PA,SC,TX,VA,VT,WA,WI
69,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,6,7,0
70,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,6,7,0
71,1,0,0,5,0,0,0,0,0,6,3,3,0,7,0,2,0,0,7,0,0,0,0,0,10,0
72,1,0,0,5,0,0,0,0,0,6,10,3,0,7,0,2,0,6,7,0,0,0,0,0,10,0
73,0,19,1,22,0,12,15,20,14,18,14,23,0,18,2,17,19,11,19,16,6,8,12,10,21,15
74,0,19,1,22,0,12,15,20,14,18,20,23,0,18,14,17,19,6,19,16,6,8,12,10,21,15
75,0,18,3,17,3,5,10,4,9,18,14,14,0,20,13,17,13,0,6,9,0,4,9,11,13,16
76,4,17,12,22,6,10,12,7,15,30,18,18,5,28,14,23,11,0,12,16,4,9,12,19,19,10
77,19,23,20,25,12,12,18,6,17,35,23,17,6,31,31,26,14,5,14,18,10,13,17,18,24,16
78,20,30,42,32,20,16,23,12,22,37,28,26,14,36,40,32,19,14,16,22,12,22,22,26,26,21
79,27,39,39,38,27,28,29,22,37,42,33,36,31,41,48,39,31,23,20,35,25,35,31,46,29,32
80,34,48,41,46,39,36,40,34,45,47,43,45,39,50,48,48,40,33,25,45,34,43,38,46,36,40
81,36,48,37,46,42,36,47,34,39,50,43,42,39,55,55,49,38,27,29,42,37,39,36,51,36,38
82,26,39,29,37,32,21,28,13,30,40,33,27,18,42,45,45,20,17,21,30,20,23,27,40,28,19
83,23,30,26,35,30,22,22,12,29,40,31,40,20,41,42,41,26,12,24,27,18,20,23,35,28,21
84,29,34,32,38,31,21,27,20,27,44,34,39,20,43,46,42,27,17,26,30,18,24,26,31,35,26
85,34,40,42,40,38,24,30,24,31,47,37,44,22,46,50,45,29,24,29,32,21,32,31,43,40,29
86,38,44,50,44,44,30,40,33,40,50,40,50,30,49,52,48,38,34,34,40,30,33,35,56,45,40
87,35,48,50,52,50,38,51,50,44,54,51,61,38,58,52,59,50,36,41,53,34,46,43,56,50,53
88,43,54,52,60,54,45,52,47,44,64,53,60,39,62,61,64,49,35,45,54,39,47,45,61,52,52